category_id,subcategory_id,subcategory_name,product_id,name,slug,thumbnail,share_url,packaging,published,unit_price,bulk_price,unit_size,size_format,selling_method,is_new,price_decreased,date
27,853,Plátano y uva,3819,Plátano de Canarias IGP,platano-canarias-igp-pieza,https://prod-mercadona.imgix.net/images/e4a37940916985bf5ca166e266580c37.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3819/platano-canarias-igp-pieza,Pieza,True,0.46,2.90,0.16,kg,0,False,False,2025-12-03
27,853,Plátano y uva,3824,Banana,banana-pieza,https://prod-mercadona.imgix.net/images/69edef3541bbf3f4b7173c9d617a5698.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3824/banana-pieza,Pieza,True,0.29,1.55,0.19,kg,0,False,False,2025-12-03
27,853,Plátano y uva,3132,Plátano macho,platano-macho-pieza,https://prod-mercadona.imgix.net/images/c22baa2a17de06fbf8477ef25392b7ca.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3132/platano-macho-pieza,Pieza,True,0.81,2.90,0.28,kg,0,False,False,2025-12-03
27,853,Plátano y uva,3313,Uva blanca sin semillas,uva-blanca-sin-semillas-bandeja,https://prod-mercadona.imgix.net/images/8c2869f14785d4c8c4179c715782c115.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3313/uva-blanca-sin-semillas-bandeja,Bandeja,True,3.30,5.50,0.6,kg,0,False,False,2025-12-03
27,853,Plátano y uva,3321,Uva roja sin semillas,uva-roja-sin-semillas-bandeja,https://prod-mercadona.imgix.net/images/2ea068289141c18a788be53ca37c4247.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3321/uva-roja-sin-semillas-bandeja,Bandeja,True,2.70,4.50,0.6,kg,0,False,False,2025-12-03
27,251,Manzana y pera,3028,Manzana Golden,manzana-golden-pieza,https://prod-mercadona.imgix.net/images/12cc1ef38a5b781f364ca22e46a25ad7.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3028/manzana-golden-pieza,Pieza,True,0.44,2.00,0.22,kg,0,False,False,2025-12-03
27,251,Manzana y pera,3269,Manzanas Golden,manzanas-golden-bolsa,https://prod-mercadona.imgix.net/images/022fa8e1cd6c9d9ee18a41ed06d71c35.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3269/manzanas-golden-bolsa,,True,2.79,1.80,1.55,kg,0,False,False,2025-12-03
27,251,Manzana y pera,3119,Pera Conferencia,pera-conferencia-pieza,https://prod-mercadona.imgix.net/images/debea7dc78060cb9cab5c608e7f9eb27.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3119/pera-conferencia-pieza,Pieza,True,0.49,2.60,0.19,kg,0,False,False,2025-12-03
27,251,Manzana y pera,14470,Peras Conferencia,peras-conferencia,https://prod-mercadona.imgix.net/images/158b08c139cba5362b335f8b0a715cc8.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/14470/peras-conferencia,,True,2.44,2.30,1.06,kg,0,False,False,2025-12-03
27,251,Manzana y pera,8177,Manzana roja dulce,manzana-roja-dulce-pieza,https://prod-mercadona.imgix.net/images/b1d42057f2bbd3c9ce25da9a2dcba0f4.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/8177/manzana-roja-dulce-pieza,Pieza,True,0.40,2.10,0.19,kg,0,False,False,2025-12-03
27,251,Manzana y pera,8280,Manzanas rojas dulces,manzanas-rojas-dulces-bolsa,https://prod-mercadona.imgix.net/images/87f801433e34719ba9bdc226616e7511.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/8280/manzanas-rojas-dulces-bolsa,,True,2.90,1.80,1.61,kg,0,False,False,2025-12-03
27,251,Manzana y pera,3170,Pera Ercolina,pera-ercolina-pieza,https://prod-mercadona.imgix.net/images/533ebe592abe9ee9a6b79cb1b3a7e8ed.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3170/pera-ercolina-pieza,Pieza,True,0.29,2.90,0.1,kg,0,False,False,2025-12-03
27,251,Manzana y pera,3021,Manzana Granny Smith,manzana-granny-smith-pieza,https://prod-mercadona.imgix.net/images/fea3470bee0679f0e081916ec48c0b36.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3021/manzana-granny-smith-pieza,Pieza,True,0.44,2.20,0.2,kg,0,False,False,2025-12-03
27,251,Manzana y pera,3201,Manzana Reineta,manzana-reineta-pieza,https://prod-mercadona.imgix.net/images/a1162f96056d2ad71bd60828be2a97b3.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3201/manzana-reineta-pieza,Pieza,True,0.55,2.75,0.2,kg,0,False,False,2025-12-03
27,251,Manzana y pera,3172,Pera Limonera,pera-limonera-pieza,https://prod-mercadona.imgix.net/images/dfb3b85109390b0bb0aab4f838c5ba89.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3172/pera-limonera-pieza,Pieza,True,0.49,2.70,0.18,kg,0,False,False,2025-12-03
27,251,Manzana y pera,8175,Manzana roja acidulce,manzana-roja-acidulce-pieza,https://prod-mercadona.imgix.net/images/450a8d847f85ca18e9e0aeb6bd024cc0.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/8175/manzana-roja-acidulce-pieza,Pieza,True,0.48,2.40,0.2,kg,0,False,False,2025-12-03
27,251,Manzana y pera,8268,Manzanas rojas acidulces,manzanas-rojas-acidulces-bolsa,https://prod-mercadona.imgix.net/images/e4e5adcf087a28c7ef0483eb7f3d9aa1.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/8268/manzanas-rojas-acidulces-bolsa,,True,3.38,2.10,1.61,kg,0,False,False,2025-12-03
27,249,Melón y sandía,30200,Medio melón piel de sapo,medio-melon-piel-sapo-12-pieza,https://prod-mercadona.imgix.net/images/3022ff8aa96d13f4d814dec4f06b8b4c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/30200/medio-melon-piel-sapo-12-pieza,1/2 Pieza,True,5.52,2.40,2.3,kg,0,False,False,2025-12-03
27,249,Melón y sandía,3506,Melón piel de sapo,melon-piel-sapo-pieza,https://prod-mercadona.imgix.net/images/bd4459355f58bc265a2c6720b688e3c3.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3506/melon-piel-sapo-pieza,Pieza,True,6.43,2.10,3.06,kg,0,False,False,2025-12-03
27,247,Cítricos,3236,Limones,limones-malla,https://prod-mercadona.imgix.net/images/1d482fa781e179d28c83a714efe1beaa.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3236/limones-malla,Malla,True,2.25,2.25,1.0,kg,0,False,False,2025-12-03
27,247,Cítricos,3210,Limón,limon-pieza,https://prod-mercadona.imgix.net/images/c86c13521b625c34a7543a22019080d5.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3210/limon-pieza,Pieza,True,0.48,2.55,0.19,kg,0,False,False,2025-12-03
27,247,Cítricos,3238,Mandarina,mandarina-pieza,https://prod-mercadona.imgix.net/images/7fde4546900f0fbd38e02be6cc4ea6ed.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3238/mandarina-pieza,Pieza,True,0.27,2.25,0.12,kg,0,False,False,2025-12-03
27,247,Cítricos,30501,Mandarinas,mandarinas-bandeja,https://prod-mercadona.imgix.net/images/cb421f8ce6110b55d7d5496dc5ea58fd.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/30501/mandarinas-bandeja,,True,3.75,2.50,1.5,kg,0,False,False,2025-12-03
27,247,Cítricos,5504,Mandarina,mandarina-malla,https://prod-mercadona.imgix.net/images/5144ebfa635f621317c91bcd491972f9.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/5504/mandarina-malla,Malla,True,3.70,1.85,2.0,kg,0,False,False,2025-12-03
27,247,Cítricos,3235,Naranja de mesa,naranja-mesa-pieza,https://prod-mercadona.imgix.net/images/e9ff28c3b115649df7138f0f51dd1f9f.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3235/naranja-mesa-pieza,Pieza,True,0.52,1.85,0.28,kg,0,False,False,2025-12-03
27,247,Cítricos,3277,Naranjas,naranjas-malla,https://prod-mercadona.imgix.net/images/45e9468a6928470c2fef4b286fab0ccd.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3277/naranjas-malla,Malla,True,4.05,1.35,3.0,kg,0,False,False,2025-12-03
27,247,Cítricos,3485,Naranjas,naranjas-malla,https://prod-mercadona.imgix.net/images/140024e5ef285d238451b6dae9dd5aa1.jpeg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3485/naranjas-malla,Malla,True,5.00,1.00,5.0,kg,0,False,False,2025-12-03
27,247,Cítricos,3202,Pomelo,pomelo-pieza,https://prod-mercadona.imgix.net/images/9235b19d4c61bbc4177bdbbacf6a9a2c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3202/pomelo-pieza,Pieza,True,0.55,1.95,0.28,kg,0,False,False,2025-12-03
27,247,Cítricos,3897,Lima,lima-pieza,https://prod-mercadona.imgix.net/images/89f9d5452102413e378048f258bc0d9c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3897/lima-pieza,Pieza,True,0.29,4.15,0.07,kg,0,False,False,2025-12-03
